benchmark,input_size,rank,opcode,mean_count,percentage_of_total
closures,10000,5,OP_ADD,20001.0,9.52292529638623
closures,10000,6,OP_RETURN,10003.0,4.762652954339856
closures,10000,7,OP_CALL,10002.0,4.76217683188116
closures,10000,8,OP_JUMP_IF_FALSE,10001.0,4.761700709422464
closures,10000,9,OP_SET_UPVALUE,10001.0,4.761700709422464
closures,10000,10,OP_LESS,10001.0,4.761700709422464
closures,100000,1,OP_GET_GLOBAL,400004.0,19.04753741613215
closures,100000,2,OP_POP,400002.0,19.047442179397436
closures,100000,3,OP_CONSTANT,200004.0,9.523863944800787
closures,100000,4,OP_GET_UPVALUE,200002.0,9.523768708066076
closures,100000,5,OP_ADD,200001.0,9.523721089698718
closures,100000,6,OP_RETURN,100003.0,4.761979590767751
closures,100000,7,OP_CALL,100002.0,4.761931972400394
closures,100000,8,OP_JUMP_IF_FALSE,100001.0,4.761884354033038
closures,100000,9,OP_SET_UPVALUE,100001.0,4.761884354033038
closures,100000,10,OP_LESS,100001.0,4.761884354033038
closures,1000000,1,OP_GET_GLOBAL,4000004.0,19.047610884365405
closures,1000000,2,OP_POP,4000002.0,19.047601360569484
closures,1000000,3,OP_CONSTANT,2000004.0,9.523814965978621
closures,1000000,4,OP_GET_UPVALUE,2000002.0,9.523805442182702
closures,1000000,5,OP_ADD,2000001.0,9.523800680284742
closures,1000000,6,OP_RETURN,1000003.0,4.761912244887269
closures,1000000,7,OP_CALL,1000002.0,4.761907482989311
closures,1000000,8,OP_JUMP_IF_FALSE,1000001.0,4.761902721091351
closures,1000000,9,OP_SET_UPVALUE,1000001.0,4.761902721091351
closures,1000000,10,OP_LESS,1000001.0,4.761902721091351
functions,1000,1,OP_GET_GLOBAL,6003.0,28.562592187276962
functions,1000,2,OP_POP,3001.0,14.278917067136126
functions,1000,3,OP_GET_LOCAL,2000.0,9.516106009420945
functions,1000,4,OP_SET_GLOBAL,2000.0,9.516106009420945
functions,1000,5,OP_ADD,2000.0,9.516106009420945
functions,1000,6,OP_CONSTANT,1003.0,4.772327163724603
functions,1000,7,OP_JUMP_IF_FALSE,1001.0,4.762811057715183
functions,1000,8,OP_RETURN,1001.0,4.762811057715183
functions,1000,9,OP_LESS,1001.0,4.762811057715183
functions,1000,10,OP_CALL,1000.0,4.758053004710472
functions,10000,1,OP_GET_GLOBAL,60003.0,28.570544289271822
functions,10000,2,OP_POP,30001.0,14.285034068670633
functions,10000,3,OP_GET_LOCAL,20000.0,9.523038611160048
functions,10000,4,OP_SET_GLOBAL,20000.0,9.523038611160048
functions,10000,5,OP_ADD,20000.0,9.523038611160048
functions,10000,6,OP_CONSTANT,10003.0,4.762947761371699
functions,10000,7,OP_JUMP_IF_FALSE,10001.0,4.761995457510582
functions,10000,8,OP_RETURN,10001.0,4.761995457510582
functions,10000,9,OP_LESS,10001.0,4.761995457510582
functions,10000,10,OP_CALL,10000.0,4.761519305580024
functions,100000,1,OP_GET_GLOBAL,600003.0,28.571340136770324
functions,100000,2,OP_POP,300001.0,14.285646259054094
functions,100000,3,OP_GET_LOCAL,200000.0,9.523732426927973
functions,100000,4,OP_SET_GLOBAL,200000.0,9.523732426927973
functions,100000,5,OP_ADD,200000.0,9.523732426927973
functions,100000,6,OP_CONSTANT,100003.0,4.76200906945039
functions,100000,7,OP_JUMP_IF_FALSE,100001.0,4.761913832126121
functions,100000,8,OP_RETURN,100001.0,4.761913832126121
functions,100000,9,OP_LESS,100001.0,4.761913832126121
functions,100000,10,OP_CALL,100000.0,4.761866213463986
functions,1000000,1,OP_GET_GLOBAL,6000003.0,28.571419727898316
functions,1000000,2,OP_POP,3000001.0,14.285707482998705
functions,1000000,3,OP_GET_LOCAL,2000000.0,9.523801814065198
functions,1000000,4,OP_SET_GLOBAL,2000000.0,9.523801814065198
functions,1000000,5,OP_ADD,2000000.0,9.523801814065198
functions,1000000,6,OP_CONSTANT,1000003.0,4.76191519273532
functions,1000000,7,OP_JUMP_IF_FALSE,1000001.0,4.761905668933506
functions,1000000,8,OP_RETURN,1000001.0,4.761905668933506
functions,1000000,9,OP_LESS,1000001.0,4.761905668933506
functions,1000000,10,OP_CALL,1000000.0,4.761900907032599
inheritance,1000,1,OP_GET_GLOBAL,5008.0,20.004793480866024
inheritance,1000,2,OP_CONSTANT,3003.0,11.99568586722058
inheritance,1000,3,OP_POP,3003.0,11.99568586722058
inheritance,1000,4,OP_ADD,3000.0,11.983702165055526
