benchmark,input_size,run,compilation_time_ms,execution_time_ms,opcode_executions,gc_count,gc_time_ms,peak_heap_usage_bytes,total_bytes_allocated,total_bytes_freed,anomaly_label,anomaly_score
functions,100000,1,0.0,75.0,2100017,0,0.0,1210,1210,0,1,0.28940200415690503
functions,100000,2,0.0,53.0,2100017,0,0.0,1210,1210,0,1,0.29251940857795633
functions,100000,3,0.0,48.0,2100017,0,0.0,1210,1210,0,1,0.2918577279690291
functions,100000,4,0.0,60.0,2100017,0,0.0,1210,1210,0,1,0.2915185856450365
functions,100000,5,0.0,45.0,2100017,0,0.0,1210,1210,0,1,0.292028835555744
functions,10000,1,0.0,3.0,210017,0,0.0,1210,1210,0,1,0.3027461008682718
functions,10000,2,0.0,13.0,210017,0,0.0,1210,1210,0,1,0.2993384340656859
functions,10000,3,0.0,6.0,210017,0,0.0,1210,1210,0,1,0.3028008746267936
functions,10000,4,0.0,4.0,210017,0,0.0,1210,1210,0,1,0.3027461008682718
functions,10000,5,0.0,5.0,210017,0,0.0,1210,1210,0,1,0.3028008746267936
functions,1000,1,0.0,0.0,21017,0,0.0,1210,1210,0,1,0.2975375818556628
functions,1000,2,0.0,1.0,21017,0,0.0,1210,1210,0,1,0.29882161985846306
functions,1000,3,0.0,0.0,21017,0,0.0,1210,1210,0,1,0.2975375818556628
functions,1000,4,0.0,1.0,21017,0,0.0,1210,1210,0,1,0.29882161985846306
functions,1000,5,0.0,0.0,21017,0,0.0,1210,1210,0,1,0.2975375818556628
inheritance,1000000,1,0.0,492.0,25000034,0,0.0,2667,2795,256,1,0.17541117861271266
inheritance,1000000,2,0.0,479.0,25000034,0,0.0,2667,2795,256,1,0.18223315851445676
inheritance,1000000,3,0.0,511.0,25000034,0,0.0,2667,2795,256,1,0.15607792355325878
inheritance,1000000,4,0.0,484.0,25000034,0,0.0,2667,2795,256,1,0.18103623418882198
inheritance,1000000,5,0.0,476.0,25000034,0,0.0,2667,2795,256,1,0.1757564754280248
inheritance,100000,1,0.0,52.0,2500034,0,0.0,2667,2795,256,1,0.232447746844878
inheritance,100000,2,0.0,54.0,2500034,0,0.0,2667,2795,256,1,0.23357276688036194
inheritance,100000,3,0.0,56.0,2500034,0,0.0,2667,2795,256,1,0.23244473044224473
inheritance,100000,4,0.0,94.0,2500034,0,0.0,2667,2795,256,1,0.21550271733419374
inheritance,100000,5,0.0,72.0,2500034,0,0.0,2667,2795,256,1,0.22452402866628096
inheritance,10000,1,0.0,6.0,250034,0,0.0,2667,2795,256,1,0.25972034421304735
inheritance,10000,2,0.0,9.0,250034,0,0.0,2667,2795,256,1,0.25015936773268327
inheritance,10000,3,0.0,3.0,250034,0,0.0,2667,2795,256,1,0.25690940376935784
inheritance,10000,4,0.0,6.0,250034,0,0.0,2667,2795,256,1,0.25972034421304735
inheritance,10000,5,0.0,5.0,250034,0,0.0,2667,2795,256,1,0.25923959912508626
inheritance,1000,1,0.0,8.0,25034,0,0.0,2667,2795,256,1,0.2480381586348258
inheritance,1000,2,0.0,2.0,25034,0,0.0,2667,2795,256,1,0.2553081725483867
inheritance,1000,3,0.0,0.0,25034,0,0.0,2667,2795,256,1,0.25238478154974675
inheritance,1000,4,0.0,0.0,25034,0,0.0,2667,2795,256,1,0.25238478154974675
inheritance,1000,5,0.0,0.0,25034,0,0.0,2667,2795,256,1,0.25238478154974675
loops,10000000,1,0.0,4618.0,235000015,0,0.0,1385,1385,0,1,0.0910267143997644
loops,10000000,2,0.0,4652.0,235000015,0,0.0,1385,1385,0,1,0.08797813131631171
loops,10000000,3,0.0,4344.0,235000015,0,0.0,1385,1385,0,1,0.10166227648171111
loops,10000000,4,0.0,4279.0,235000015,0,0.0,1385,1385,0,1,0.07938786024315969
loops,10000000,5,0.0,4408.0,235000015,0,0.0,1385,1385,0,1,0.0961839057030589
loops,1000000,1,0.0,442.0,23500015,0,0.0,1385,1385,0,1,0.2392412014852277
loops,1000000,2,0.0,402.0,23500015,0,0.0,1385,1385,0,1,0.2526381847429577
loops,1000000,3,0.0,400.0,23500015,0,0.0,1385,1385,0,1,0.2522292851485729
loops,1000000,4,0.0,406.0,23500015,0,0.0,1385,1385,0,1,0.2544297536876603
loops,1000000,5,0.0,407.0,23500015,0,0.0,1385,1385,0,1,0.2540049245199182
loops,100000,1,0.0,53.0,2350015,0,0.0,1385,1385,0,1,0.2991825079569831
loops,100000,2,0.0,51.0,2350015,0,0.0,1385,1385,0,1,0.2985883379947444
loops,100000,3,0.0,101.0,2350015,0,0.0,1385,1385,0,1,0.2940877942126763
loops,100000,4,0.0,71.0,2350015,0,0.0,1385,1385,0,1,0.29895442828871793
loops,100000,5,0.0,118.0,2350015,0,0.0,1385,1385,0,1,0.28708662152504
loops,10000,1,0.0,6.0,235015,0,0.0,1385,1385,0,1,0.3074923499364411
loops,10000,2,0.0,5.0,235015,0,0.0,1385,1385,0,1,0.3074923499364411
loops,10000,3,0.0,10.0,235015,0,0.0,1385,1385,0,1,0.30397646901844594
loops,10000,4,0.0,7.0,235015,0,0.0,1385,1385,0,1,0.30596555295995403
loops,10000,5,0.0,5.0,235015,0,0.0,1385,1385,0,1,0.3074923499364411
objects,1000000,1,0.0,483.0,23000036,0,0.0,2576,2704,128,1,0.20054455320796843
objects,1000000,2,0.0,469.0,23000036,0,0.0,2576,2704,128,1,0.20575686353280764
objects,1000000,3,0.0,436.0,23000036,0,0.0,2576,2704,128,1,0.20405983870586092
objects,1000000,4,0.0,404.0,23000036,0,0.0,2576,2704,128,1,0.2039090952118081
objects,1000000,5,0.0,416.0,23000036,0,0.0,2576,2704,128,1,0.20684429690392458
objects,100000,1,0.0,57.0,2300036,0,0.0,2576,2704,128,1,0.27019308829701755
objects,100000,2,0.0,75.0,2300036,0,0.0,2576,2704,128,1,0.2607306536405737
objects,100000,3,0.0,45.0,2300036,0,0.0,2576,2704,128,1,0.271314554229554
objects,100000,4,0.0,58.0,2300036,0,0.0,2576,2704,128,1,0.2696328217517249
objects,100000,5,0.0,50.0,2300036,0,0.0,2576,2704,128,1,0.27076863690098657
objects,10000,1,0.0,5.0,230036,0,0.0,2576,2704,128,1,0.29062568267272487
objects,10000,2,0.0,6.0,230036,0,0.0,2576,2704,128,1,0.2902026125848935
objects,10000,3,0.0,12.0,230036,0,0.0,2576,2704,128,1,0.2840531045217682
objects,10000,4,0.0,7.0,230036,0,0.0,2576,2704,128,1,0.2878762227684557
objects,10000,5,0.0,5.0,230036,0,0.0,2576,2704,128,1,0.29062568267272487
objects,1000,1,0.0,0.0,23036,0,0.0,2576,2704,128,1,0.28251956574965603
objects,1000,2,0.0,1.0,23036,0,0.0,2576,2704,128,1,0.287431763718989
objects,1000,3,0.0,1.0,23036,0,0.0,2576,2704,128,1,0.287431763718989
objects,1000,4,0.0,1.0,23036,0,0.0,2576,2704,128,1,0.287431763718989
objects,1000,5,0.0,1.0,23036,0,0.0,2576,2704,128,1,0.287431763718989
recursion,20,1,0.0,7.0,284588,0,0.0,1151,1151,0,1,0.28666445558790643
recursion,20,2,0.0,8.0,284588,0,0.0,1151,1151,0,1,0.2845725937089533
recursion,20,3,0.0,6.0,284588,0,0.0,1151,1151,0,1,0.28905217773155667
recursion,20,4,0.0,6.0,284588,0,0.0,1151,1151,0,1,0.28905217773155667
recursion,20,5,0.0,6.0,284588,0,0.0,1151,1151,0,1,0.28905217773155667
recursion,25,1,0.0,64.0,3156210,0,0.0,1151,1151,0,1,0.2709554697283379
recursion,25,2,0.0,126.0,3156210,0,0.0,1151,1151,0,1,0.26082762878418225
recursion,25,3,0.0,128.0,3156210,0,0.0,1151,1151,0,1,0.26082762878418225
recursion,25,4,0.0,56.0,3156210,0,0.0,1151,1151,0,1,0.2691947611487605
recursion,25,5,0.0,70.0,3156210,0,0.0,1151,1151,0,1,0.2702107034491802
recursion,30,1,0.0,621.0,35002986,0,0.0,1151,1151,0,1,0.16712390884785966
recursion,30,2,0.0,562.0,35002986,0,0.0,1151,1151,0,1,0.19751577265771042
recursion,30,3,0.0,551.0,35002986,0,0.0,1151,1151,0,1,0.19960300189384816
recursion,30,4,0.0,527.0,35002986,0,0.0,1151,1151,0,1,0.20098998650144861
recursion,30,5,0.0,530.0,35002986,0,0.0,1151,1151,0,1,0.20061939321506989
recursion,35,1,0.0,7325.0,388189144,0,0.0,1151,1151,0,-1,-0.017047197638208278
recursion,35,2,0.0,6876.0,388189144,0,0.0,1151,1151,0,1,0.022702580395484784
recursion,35,3,0.0,6422.0,388189144,0,0.0,1151,1151,0,1,0.07732856417198464
recursion,35,4,0.0,6423.0,388189144,0,0.0,1151,1151,0,1,0.07862326645716367
recursion,35,5,0.0,6473.0,388189144,0,0.0,1151,1151,0,1,0.04719232933512363
