benchmark,num_input_sizes,time_power_exponent_k,time_power_coefficient_a,time_power_r2,opcode_power_exponent_k,opcode_power_coefficient_a,opcode_power_r2,heap_power_exponent_k,heap_power_coefficient_a,heap_power_r2,allocation_power_exponent_k,allocation_power_coefficient_a,allocation_power_r2,gc_power_exponent_k,gc_power_coefficient_a,gc_power_r2,time_exponential_coefficient_a,time_exponential_base_b,time_exponential_r2
allocation,4,0.9641439358118591,0.0014092939922567035,0.9852013545241208,0.9998787550216102,21.031681169454785,0.9999999930563135,0.24700019454145436,50498.055366044326,0.5999999999999996,0.9986096642369935,158.72030135022058,0.9999990860196349,1.2392832477969211,0.003896450084659005,0.990335794769332,8.762381270395888,1.000004518359177,0.5725849544526224
arithmetic,4,0.8482994707226441,0.00599667842236222,0.9951960760969971,0.9999935130543169,31.00296347240003,0.9999999999801251,-2.038210869999413e-16,1386.0000000000064,1.0,-2.038210869999413e-16,1386.0000000000064,1.0,,,,80.05121681033714,1.000000447824848,0.7339484920450434
closures,4,1.0659698634856636,0.00021206464936894954,0.97061942238847,0.9998086093928412,21.050032103144964,0.99999998269674,-4.740259357232194e-16,1613.000000000009,1.0,-1.656378691356465e-16,1741.000000000003,1.0,,,,3.4411424932455423,1.0000048632539904,0.5346259748447968
functions,4,0.995277653518033,0.0005098376243850621,0.9940552677398222,0.9998915126176281,21.028345361186783,0.9999999944407442,-3.283130024627755e-16,1210.0000000000039,1.0,-3.283130024627755e-16,1210.0000000000039,1.0,,,,4.037154398964208,1.0000048091685185,0.6141848036097196
inheritance,4,0.8216712824639316,0.004954657060127896,0.9791822116488329,0.9998177900580638,25.05670168472687,0.9999999843170528,-1.6186641575798137e-16,2667.000000000003,1.0,-3.4412039720903313e-16,2795.0000000000127,1.0,,,,7.335680067344622,1.0000043696900562,0.7328343314767092
loops,4,0.920716926333666,0.0015169773577628843,0.9945264513929462,0.9999914428169232,23.502963495506513,0.9999999999654152,-8.292807322954249e-17,1385.0000000000039,1.0,-8.292807322954249e-17,1385.0000000000039,1.0,,,,47.44518432512209,1.0000004714850246,0.6901425834204218
objects,4,0.9136594048845835,0.0014990139168878937,0.9998315998044945,0.9997903164164712,23.060041404918067,0.9999999792307009,-4.051029486620103e-16,2576.000000000015,1.0,-4.859078130076842e-16,2704.0000000000227,1.0,,,,5.413126974049762,1.0000045912928635,0.6681367156049708
recursion,4,12.08032332402404,1.1479513500513923e-15,0.9918491777407599,12.838919665204813,4.586340522036233e-12,0.9931309185149396,3.8691915029231665e-15,1150.9999999999839,1.0,3.8691915029231665e-15,1150.9999999999839,1.0,,,,0.0008609490114298142,1.5717163251863175,0.9960092020396141
