benchmark,input_size,run,opcode,count
allocation,10000,4,OP_DEFINE_GLOBAL,3
allocation,10000,4,OP_SET_GLOBAL,10000
allocation,10000,4,OP_SET_PROPERTY,10000
allocation,10000,4,OP_LESS,10001
allocation,10000,4,OP_ADD,10000
allocation,10000,4,OP_PRINT,1
allocation,10000,4,OP_JUMP_IF_FALSE,10001
allocation,10000,4,OP_LOOP,10000
allocation,10000,4,OP_CALL,10000
allocation,10000,4,OP_CLOSURE,1
allocation,10000,4,OP_RETURN,10001
allocation,10000,4,OP_CLASS,1
allocation,10000,4,OP_METHOD,1
allocation,10000,5,OP_CONSTANT,10003
allocation,10000,5,OP_NIL,1
allocation,10000,5,OP_POP,40002
allocation,10000,5,OP_GET_LOCAL,30000
allocation,10000,5,OP_GET_GLOBAL,50003
allocation,10000,5,OP_DEFINE_GLOBAL,3
allocation,10000,5,OP_SET_GLOBAL,10000
allocation,10000,5,OP_SET_PROPERTY,10000
allocation,10000,5,OP_LESS,10001
allocation,10000,5,OP_ADD,10000
allocation,10000,5,OP_PRINT,1
allocation,10000,5,OP_JUMP_IF_FALSE,10001
allocation,10000,5,OP_LOOP,10000
allocation,10000,5,OP_CALL,10000
allocation,10000,5,OP_CLOSURE,1
allocation,10000,5,OP_RETURN,10001
allocation,10000,5,OP_CLASS,1
allocation,10000,5,OP_METHOD,1
allocation,1000,1,OP_CONSTANT,1003
allocation,1000,1,OP_NIL,1
allocation,1000,1,OP_POP,4002
allocation,1000,1,OP_GET_LOCAL,3000
allocation,1000,1,OP_GET_GLOBAL,5003
allocation,1000,1,OP_DEFINE_GLOBAL,3
allocation,1000,1,OP_SET_GLOBAL,1000
allocation,1000,1,OP_SET_PROPERTY,1000
allocation,1000,1,OP_LESS,1001
allocation,1000,1,OP_ADD,1000
allocation,1000,1,OP_PRINT,1
allocation,1000,1,OP_JUMP_IF_FALSE,1001
allocation,1000,1,OP_LOOP,1000
allocation,1000,1,OP_CALL,1000
allocation,1000,1,OP_CLOSURE,1
allocation,1000,1,OP_RETURN,1001
allocation,1000,1,OP_CLASS,1
allocation,1000,1,OP_METHOD,1
allocation,1000,2,OP_CONSTANT,1003
allocation,1000,2,OP_NIL,1
allocation,1000,2,OP_POP,4002
allocation,1000,2,OP_GET_LOCAL,3000
allocation,1000,2,OP_GET_GLOBAL,5003
allocation,1000,2,OP_DEFINE_GLOBAL,3
allocation,1000,2,OP_SET_GLOBAL,1000
allocation,1000,2,OP_SET_PROPERTY,1000
allocation,1000,2,OP_LESS,1001
allocation,1000,2,OP_ADD,1000
allocation,1000,2,OP_PRINT,1
allocation,1000,2,OP_JUMP_IF_FALSE,1001
allocation,1000,2,OP_LOOP,1000
allocation,1000,2,OP_CALL,1000
allocation,1000,2,OP_CLOSURE,1
allocation,1000,2,OP_RETURN,1001
allocation,1000,2,OP_CLASS,1
allocation,1000,2,OP_METHOD,1
allocation,1000,3,OP_CONSTANT,1003
allocation,1000,3,OP_NIL,1
allocation,1000,3,OP_POP,4002
allocation,1000,3,OP_GET_LOCAL,3000
allocation,1000,3,OP_GET_GLOBAL,5003
allocation,1000,3,OP_DEFINE_GLOBAL,3
allocation,1000,3,OP_SET_GLOBAL,1000
allocation,1000,3,OP_SET_PROPERTY,1000
allocation,1000,3,OP_LESS,1001
allocation,1000,3,OP_ADD,1000
allocation,1000,3,OP_PRINT,1
allocation,1000,3,OP_JUMP_IF_FALSE,1001
allocation,1000,3,OP_LOOP,1000
allocation,1000,3,OP_CALL,1000
allocation,1000,3,OP_CLOSURE,1
allocation,1000,3,OP_RETURN,1001
allocation,1000,3,OP_CLASS,1
allocation,1000,3,OP_METHOD,1
allocation,1000,4,OP_CONSTANT,1003
allocation,1000,4,OP_NIL,1
allocation,1000,4,OP_POP,4002
allocation,1000,4,OP_GET_LOCAL,3000
allocation,1000,4,OP_GET_GLOBAL,5003
allocation,1000,4,OP_DEFINE_GLOBAL,3
allocation,1000,4,OP_SET_GLOBAL,1000
allocation,1000,4,OP_SET_PROPERTY,1000
allocation,1000,4,OP_LESS,1001
allocation,1000,4,OP_ADD,1000
allocation,1000,4,OP_PRINT,1
allocation,1000,4,OP_JUMP_IF_FALSE,1001
allocation,1000,4,OP_LOOP,1000
allocation,1000,4,OP_CALL,1000
allocation,1000,4,OP_CLOSURE,1
allocation,1000,4,OP_RETURN,1001
allocation,1000,4,OP_CLASS,1
allocation,1000,4,OP_METHOD,1
allocation,1000,5,OP_CONSTANT,1003
allocation,1000,5,OP_NIL,1
allocation,1000,5,OP_POP,4002
allocation,1000,5,OP_GET_LOCAL,3000
allocation,1000,5,OP_GET_GLOBAL,5003
allocation,1000,5,OP_DEFINE_GLOBAL,3
allocation,1000,5,OP_SET_GLOBAL,1000
allocation,1000,5,OP_SET_PROPERTY,1000
allocation,1000,5,OP_LESS,1001
allocation,1000,5,OP_ADD,1000
allocation,1000,5,OP_PRINT,1
allocation,1000,5,OP_JUMP_IF_FALSE,1001
allocation,1000,5,OP_LOOP,1000
allocation,1000,5,OP_CALL,1000
allocation,1000,5,OP_CLOSURE,1
allocation,1000,5,OP_RETURN,1001
allocation,1000,5,OP_CLASS,1
allocation,1000,5,OP_METHOD,1
arithmetic,10000000,1,OP_CONSTANT,50000003
arithmetic,10000000,1,OP_NIL,1
arithmetic,10000000,1,OP_POP,60000001
arithmetic,10000000,1,OP_GET_GLOBAL,70000003
arithmetic,10000000,1,OP_DEFINE_GLOBAL,3
arithmetic,10000000,1,OP_SET_GLOBAL,50000000
arithmetic,10000000,1,OP_LESS,10000001
arithmetic,10000000,1,OP_ADD,20000000
arithmetic,10000000,1,OP_SUBTRACT,10000000
arithmetic,10000000,1,OP_MULTIPLY,10000000
arithmetic,10000000,1,OP_DIVIDE,10000000
